,Type,Netflix Exclusive,Score
The Queen's Gambit,TV Show,Yes,381
Outer Banks,TV Show,Yes,259
Unsolved Mysteries,TV Show,Yes,242
The Umbrella Academy,TV Show,Yes,235
Cobra Kai,TV Show,Yes,217
"Tiger King: Murder, Mayhem …",TV Show,Yes,216
365 Dni,Movie,,206
Avatar the Last Airbender,TV Show,,196
Ratched,TV Show,Yes,192
Ozark,TV Show,Yes,187
Dead to Me,TV Show,Yes,179
The Haunting of Bly Manor,TV Show,Yes,177
Space Force,TV Show,Yes,174
Floor is Lava,TV Show,Yes,171
Cocomelon,TV Show,,167
Jeffrey Epstein: Filthy Rich,TV Show,Yes,165
The Crown,TV Show,Yes,158
Emily in Paris,TV Show,Yes,157
Away,TV Show,Yes,156
13 Reasons Why,TV Show,Yes,152
Shameless,TV Show,,146
Sweet Magnolias,TV Show,Yes,144
Hubie Halloween,Movie,Yes,140
Project Power,Movie,Yes,131
Lucifer,TV Show,Yes,128
The Last Dance,TV Show,,127
All American,TV Show,,125
Cursed,TV Show,Yes,119
American Murder: The Family…,Movie,Yes,117
Schitt's Creek,TV Show,,113
Riverdale,TV Show,,111
Warrior Nun,TV Show,Yes,111
The Old Guard,Movie,Yes,108
Virgin River,TV Show,Yes,108
The Order,TV Show,Yes,107
Down to Earth with Zac Efron,TV Show,Yes,104
The Wrong Missy,Movie,Yes,103
Dr. Seussâ The Grinch,Movie,,96
Enola Holmes,Movie,Yes,94
The Legend of Korra,TV Show,,92
Doctor Seuss' The Lorax,Movie,,92
Jurassic World: Camp Cretac…,TV Show,Yes,91
Never Have I Ever,TV Show,Yes,90
The Christmas Chronicles 2,Movie,Yes,88
The Kissing Booth 2,Movie,Yes,88
Hollywood,TV Show,Yes,80
The Lost Husband,Movie,,80
Extraction,Movie,Yes,77
The Impossible,Movie,,76
The Smurfs 2,Movie,,74
The Baby-Sitters Club,TV Show,Yes,73
Kevin Hart: Zero F**ks Given,Stand-Up Comedy,Yes,73
Uncut Gems,Movie,,69
The Smurfs,Movie,,66
Bastille Day,Movie,,66
Mile 22,Movie,,65
Fear City: New York vs The …,TV Show,Yes,65
Over the Moon,Movie,Yes,64
Fuller House,TV Show,Yes,64
Worldâs Most Wanted,TV Show,Yes,64
Oscuro Deseo,TV Show,Yes,62
Dangerous Lies,Movie,Yes,62
Fatal Affair,Movie,Yes,61
Animal Crackers,Movie,Yes,60
Too Hot to Handle,TV Show,Yes,60
Mr. Peabody & Sherman,Movie,,59
"Love, Guaranteed",Movie,Yes,59
Eurovision Song Contest: Th…,Movie,Yes,58
Cloudy with a Chance of Mea…,Movie,,58
Knock Knock,Movie,,58
The Nut Job,Movie,,58
Feel the Beat,Movie,Yes,58
The Seven Deadly Sins,TV Show,Yes,58
Evil,TV Show,,57
Chappelle's Show,TV Show,,57
Hillbilly Elegy,Movie,Yes,56
Barbarians,TV Show,Yes,56
Waco,TV Show,,56
Da 5 Bloods,Movie,Yes,55
The Boss Baby: Back in Busi…,TV Show,Yes,53
Pets United,Movie,Yes,53
The Social Dilemma,Movie,Yes,53
"Sister, Sister",TV Show,,52
Real Steel,Movie,,52
The Great British Baking Show,TV Show,Yes,52
Patriots Day,Movie,,52
Money Heist,TV Show,Yes,52
John Henry,Movie,,50
Selena: The Series,TV Show,Yes,50
Operation Christmas Drop,Movie,Yes,50
Get Organized with The Home…,TV Show,Yes,49
Peppermint,Movie,,48
Desperados,Movie,Yes,48
My Next Guest Needs No Intr…,TV Show,Yes,47
Despicable Me,Movie,,47
The Devil All the Time,Movie,Yes,45
Big Mouth,TV Show,Yes,45
Angel Has Fallen,Movie,,45
The Business of Drugs,TV Show,Yes,44
The Willoughbys,Movie,Yes,44
El Hoyo,Movie,Yes,44
The Babysitter: Killer Queen,Movie,Yes,43
Teenage Bounty Hunters,TV Show,Yes,43
Drunk Parents,Movie,,43
Hoops,TV Show,Yes,43
White Lines,TV Show,Yes,43
The Last Kingdom,TV Show,Yes,43
Million Dollar Beach House,TV Show,Yes,42
The Princess Switch: Switch…,Movie,Yes,42
Due Date,Movie,,42
The Big Show Show,TV Show,Yes,41
American Pie Presents: Girl…,Movie,,40
Holidate,Movie,Yes,40
Code 8,TV Show,,40
Dash & Lily,TV Show,Yes,39
Trial 4,TV Show,Yes,38
The Flash,TV Show,,38
Just Go With It,Movie,,38
Grand Army,TV Show,Yes,38
Queer Eye,TV Show,Yes,38
The Good Place,TV Show,,37
Sleepless,Movie,,37
Work It,Movie,Yes,36
The Outpost,Movie,,36
The 100,TV Show,,36
Moneyball,Movie,,35
The Lovebirds,Movie,Yes,35
Rebecca,Movie,Yes,35
Alexa & Katie,TV Show,Yes,34
#salaissda,Movie,Yes,34
Self Made: Inspired by the …,TV Show,Yes,34
Jingle Jangle: A Christmas …,TV Show,Yes,34
Coffee & Kareem,Movie,Yes,34
Balle perdue,Movie,Yes,33
Marauders,Movie,,32
The Town,Movie,,32
The Trial of the Chicago 7,Movie,Yes,32
The Frozen Ground,Movie,,32
Bad Teacher,Movie,,32
Love is Blind,TV Show,Yes,32
Den of Thieves,Movie,,31
Becoming,Movie,Yes,31
The Last Days of American C…,Movie,Yes,31
Hard Kill,Movie,,31
F is for Family,TV Show,Yes,31
Last Chance U,TV Show,Yes,30
The Kissing Booth,TV Show,Yes,30
The Sleepover,Movie,Yes,29
Athlete A,Movie,Yes,28
Workin' Moms,TV Show,Yes,28
History 101,TV Show,Yes,28
Blood Father,Movie,,27
High Score,TV Show,Yes,27
All Day and a Night,Movie,Yes,27
Murder to Mercy: The Cyntoi…,Movie,Yes,25
Chef's Table,TV Show,Yes,25
The 2nd,Movie,,25
Nailed It!,TV Show,Yes,25
Jerry Seinfeld: 23 Hours To…,Stand-Up Comedy,Yes,25
(Un)Well,TV Show,Yes,24
George Lopez: We'll Do It F…,Stand-Up Comedy,Yes,24
Blood of Zeus,TV Show,Yes,24
The Blacklist,TV Show,,24
The Epic Tales of Captain U…,TV Show,Yes,24
Sugar Rush,TV Show,Yes,24
PokÃ©mon Journeys: The Series,TV Show,Yes,23
Crazy Delicious,TV Show,Yes,23
Love,Movie,,23
#blackAF,TV Show,Yes,23
Only,Movie,,23
Trial by Media,TV Show,Yes,22
Welcome to Sudden Death,Movie,,22
Yip Man 4,Movie,,22
How the Grinch Stole Christmas,Movie,,22
Easy A,Movie,,21
Grey's Anatomy,TV Show,,21
The Help,Movie,,21
The Innocence Files,TV Show,Yes,20
I Am a Killer: Released,TV Show,Yes,20
Mr. Iglesias,TV Show,Yes,20
Selling Sunset,TV Show,Yes,19
Wizards: Tales of Arcadia,TV Show,Yes,19
Bunk'd,TV Show,,19
Dennis the Menace,Movie,,19
How to Fix a Drug Scandal,TV Show,Yes,19
Public Enemies,Movie,,19
"Coronavirus, Explained",TV Show,Yes,18
Challenger: The Final Flight,TV Show,Yes,18
Mignonnes,Movie,Yes,18
Arctic Dogs,Movie,,17
Soul Surfer,Movie,,17
The Letter for the King,TV Show,Yes,17
Alien Worlds,TV Show,Yes,17
American Horror Story,TV Show,,17
La belva,Movie,Yes,17
1BR,Movie,,16
Survivor,TV Show,,16
Chris D'Elia No Pain,TV Show,Yes,16
Tom Segura: Ball Hog,Movie,Yes,16
I Now Pronounce You Chuck a…,Movie,,15
Secrets of the Saqqara Tomb,Movie,Yes,15
The Healer,Movie,,15
Have a Good Trip: Adventure…,Movie,Yes,15
A Babysitterâs Guide to Mon…,Movie,Yes,15
Moesha,TV Show,,15
Immigration Nation,TV Show,Yes,14
Love. Wedding. Repeat,Movie,Yes,14
Car Masters: Rust to Riches,TV Show,Yes,14
Wentworth,TV Show,,14
Jurassic Park,Movie,,13
A Thousand Words,Movie,,13
Indian Matchmaking,TV Show,Yes,13
Quantum of Solace,Movie,,12
The Christmas Chronicles,Movie,Yes,12
Ava,Movie,,12
Unorthodox,TV Show,Yes,12
Sneakerheads,TV Show,Yes,12
The Cabin with Bert Kreischer,TV Show,Yes,11
Big Daddy,Movie,,11
Clueless,Movie,,11
Legacies,TV Show,,11
The Roommate,Movie,,11
"Yes, God, Yes",Movie,,11
Girlfriends,TV Show,,11
Rogue City,Movie,Yes,11
Tremors: Island Fury,Movie,,11
Malibu Rescue: The Next Wave,Movie,Yes,11
The American Barbecue Showdown,TV Show,Yes,10
Snowden,Movie,,10
Trinkets,TV Show,Yes,10
The Liberator,TV Show,Yes,10
Colombiana,Movie,,10
Rogue Warfare: The Hunt,Movie,,10
Baby Mama,Movie,,10
Rust Creek,Movie,,9
Zookeeper,Movie,,9
Magic for Humans,TV Show,Yes,9
Badland,Movie,,9
Spenser Confidential,Movie,Yes,9
Uncorked,Movie,Yes,8
Home Game,TV Show,Yes,8
The Game,TV Show,,8
His House,Movie,Yes,8
The Boss Baby: Get That Baby!,Movie,Yes,8
Yogi Bear,Movie,,7
Magnetic,Movie,,7
Django Unchained,Movie,,7
100 Humans,TV Show,Yes,6
In the Dark,TV Show,,6
The Main Event,Movie,Yes,6
Triple 9,Movie,,6
La vita davanti a sÃ©,Movie,Yes,6
El practicante,Movie,Yes,6
Transformers: War for Cyber…,TV Show,Yes,6
Queen of the South,TV Show,,6
Midnight at the Magnolia,Movie,,5
Game On! A Comedy Crossover…,TV Show,Yes,5
The Willloughbys,Movie,Yes,5
Latte & the Magic Waterstone,Movie,Yes,5
Ancient Aliens,TV Show,,4
Hop,Movie,,4
60 Days In,TV Show,,4
Julie and the Phantoms,TV Show,Yes,4
Hometown Holiday,Movie,,4
If Anything Happens I Love You,Movie,Yes,4
Absurd Planet,TV Show,Yes,4
Anaconda,Movie,,4
Hogar,Movie,Yes,3
The Hangover,Movie,,3
Dream Home Makeover,TV Show,Yes,3
Rust Valley Restorers,TV Show,Yes,3
How to Get Away With Murder,TV Show,,3
The Half of It,Movie,Yes,3
Christmas on the Square,Movie,Yes,3
Cooked With Cannabis,TV Show,Yes,3
The Players Club,Movie,,3
Glow Up,TV Show,Yes,2
Puss in Boots,Movie,,2
Double Jeopardy,Movie,,2
One on One,TV Show,,2
The Green Hornet,Movie,,2
Salt,Movie,,2
Dark,TV Show,Yes,2
Hannibal,TV Show,,1
How to Train Your Dragon 2,Movie,,1
On My Block,TV Show,Yes,1
The Office,TV Show,,1
House at the End of the Street,Movie,Yes,1
Community,TV Show,,1
