;Type;Score;;
The Queen's Gambit;TV Show;381;;
Outer Banks;TV Show;259;;
Unsolved Mysteries;TV Show;242;;
The Umbrella Academy;TV Show;235;;
Cobra Kai;TV Show;217;;
Tiger King: Murder, Mayhem and Madness;TV Show;216;;
365 Dni;Movie;206;;
Avatar the Last Airbender;TV Show;196;;
Ratched;TV Show;192;;
Ozark;TV Show;187;;
Dead to Me;TV Show;179;;
The Haunting of Bly Manor;TV Show;177;;
Space Force;TV Show;174;;
Floor is Lava;TV Show;171;;
Cocomelon;TV Show;167;;
Jeffrey Epstein: Filthy Rich;TV Show;165;;
The Crown;TV Show;158;;
Emily in Paris;TV Show;157;;
Away;TV Show;156;;
13 Reasons Why;TV Show;152;;
Shameless;TV Show;146;;
Sweet Magnolias;TV Show;144;;
Hubie Halloween;Movie;140;;
Project Power;Movie;131;;
Lucifer;TV Show;128;;
The Last Dance;TV Show;127;;
All American;TV Show;125;;
Cursed;TV Show;119;;
American Murder: The Family Next Door;Movie;117;;
Schitt's Creek;TV Show;113;;
Riverdale;TV Show;111;;
Warrior Nun;TV Show;111;;
The Old Guard;Movie;108;;
Virgin River;TV Show;108;;
The Order;TV Show;107;;
Down to Earth with Zac Efron;TV Show;104;;
The Wrong Missy;Movie;103;;
Dr. Seuss's The Grinch;Movie;96;;
Enola Holmes;Movie;94;;
The Legend of Korra;TV Show;92;;
Doctor Seuss' The Lorax;Movie;92;;
Jurassic World: Camp Cretaceous;TV Show;91;;
Never Have I Ever;TV Show;90;;
The Christmas Chronicles 2;Movie;88;;
The Kissing Booth 2;Movie;88;;
Hollywood;TV Show;80;;
The Lost Husband;Movie;80;;
Extraction;Movie;77;;
The Impossible;Movie;76;;
The Smurfs 2;Movie;74;;
The Baby-Sitters Club;TV Show;73;;
Kevin Hart: Zero F**ks Given;Stand-Up Comedy;73;;
Uncut Gems;Movie;69;;
The Smurfs;Movie;66;;
Bastille Day;Movie;66;;
Mile 22;Movie;65;;
Fear City: New York vs The Mafia;TV Show;65;;
Over the Moon;Movie;64;;
Fuller House;TV Show;64;;
World's Most Wanted;TV Show;64;;
Oscuro Deseo;TV Show;62;;
Dangerous Lies;Movie;62;;
Fatal Affair;Movie;61;;
Animal Crackers;Movie;60;;
Too Hot to Handle;TV Show;60;;
Mr. Peabody & Sherman;Movie;59;;
Love Guaranteed;Movie;59;;
Eurovision Song Contest: The Story of Fire Saga;Movie;58;;
Cloudy with a Chance of Meatballs;Movie;58;;
Knock Knock;Movie;58;;
The Nut Job;Movie;58;;
Feel the Beat;Movie;58;;
The Seven Deadly Sins;TV Show;58;;
Evil;TV Show;57;;
Chappelle's Show;TV Show;57;;
Hillbilly Elegy;Movie;56;;
Barbarians;TV Show;56;;
Waco;TV Show;56;;
Da 5 Bloods;Movie;55;;
The Boss Baby: Back in Business;TV Show;53;;
Pets United;Movie;53;;
The Social Dilemma;Movie;53;;
Sister, Sister;TV Show;52;;
Real Steel;Movie;52;;
The Great British Baking Show;TV Show;52;;
Patriots Day;Movie;52;;
Money Heist;TV Show;52;;
John Henry;Movie;50;;
Selena: The Series;TV Show;50;;
Operation Christmas Drop;Movie;50;;
Get Organized with The Home Edit;TV Show;49;;
Peppermint;Movie;48;;
Desperados;Movie;48;;
My Next Guest Needs No Introduction With David Letterman;TV Show;47;;
Despicable Me;Movie;47;;
The Devil All the Time;Movie;45;;
Big Mouth;TV Show;45;;
Angel Has Fallen;Movie;45;;
The Business of Drugs;TV Show;44;;
The Willoughbys;Movie;44;;
El Hoyo;Movie;44;;
The Babysitter: Killer Queen;Movie;43;;
Teenage Bounty Hunters;TV Show;43;;
Drunk Parents;Movie;43;;
Hoops;TV Show;43;;
White Lines;TV Show;43;;
The Last Kingdom;TV Show;43;;
Million Dollar Beach House;TV Show;42;;
The Princess Switch: Switched Again;Movie;42;;
Due Date;Movie;42;;
The Big Show Show;TV Show;41;;
American Pie Presents: Girls' Rules;Movie;40;;
Holidate;Movie;40;;
Code 8;TV Show;40;;
Dash & Lily;TV Show;39;;
Trial 4;TV Show;38;;
The Flash;TV Show;38;;
Just Go With It;Movie;38;;
Grand Army;TV Show;38;;
Queer Eye;TV Show;38;;
The Good Place;TV Show;37;;
Sleepless;Movie;37;;
Work It;Movie;36;;
The Outpost;Movie;36;;
The 100;TV Show;36;;
Moneyball;Movie;35;;
The Lovebirds;Movie;35;;
Rebecca;Movie;35;;
Alexa & Katie;TV Show;34;;
#salaissda;Movie;34;;
Self Made: Inspired by the Life of Madam C.J. Waker;TV Show;34;;
Jingle Jangle: A Christmas Journey;TV Show;34;;
Coffee & Kareem;Movie;34;;
Balle perdue;Movie;33;;
Marauders;Movie;32;;
The Town;Movie;32;;
The Trial of the Chicago 7;Movie;32;;
The Frozen Ground;Movie;32;;
Bad Teacher;Movie;32;;
Love is Blind;TV Show;32;;
Den of Thieves;Movie;31;;
Becoming;Movie;31;;
The Last Days of American Crime;Movie;31;;
Hard Kill;Movie;31;;
F is for Family;TV Show;31;;
Last Chance U;TV Show;30;;
The Kissing Booth;TV Show;30;;
The Sleepover;Movie;29;;
Athlete A;Movie;28;;
Workin' Moms;TV Show;28;;
History 101;TV Show;28;;
Blood Father;Movie;27;;
High Score;TV Show;27;;
All Day and a Night;Movie;27;;
Murder to Mercy: The Cyntoia Brown Story;Movie;25;;
Chef's Table;TV Show;25;;
The 2nd;Movie;25;;
Nailed It!;TV Show;25;;
Jerry Seinfeld: 23 Hours To Kill;Stand-Up Comedy;25;;
(Un)Well;TV Show;24;;
George Lopez: We'll Do It For Half;Stand-Up Comedy;24;;
Blood of Zeus;TV Show;24;;
The Blacklist;TV Show;24;;
The Epic Tales of Captain Underpants;TV Show;24;;
Sugar Rush;TV Show;24;;
Pokémon Journeys: The Series;TV Show;23;;
Crazy Delicious;TV Show;23;;
Love;Movie;23;;
#blackAF;TV Show;23;;
Only;Movie;23;;
Trial by Media;TV Show;22;;
Welcome to Sudden Death;Movie;22;;
Yip Man 4;Movie;22;;
How the Grinch Stole Christmas;Movie;22;;
Easy A;Movie;21;;
Grey's Anatomy;TV Show;21;;
The Help;Movie;21;;
The Innocence Files;TV Show;20;;
I Am a Killer: Released;TV Show;20;;
Mr. Iglesias;TV Show;20;;
Selling Sunset;TV Show;19;;
Wizards: Tales of Arcadia;TV Show;19;;
Bunk'd;TV Show;19;;
Dennis the Menace;Movie;19;;
How to Fix a Drug Scandal;TV Show;19;;
Public Enemies;Movie;19;;
Coronavirus, Explained;TV Show;18;;
Challenger: The Final Flight;TV Show;18;;
Mignonnes;Movie;18;;
Arctic Dogs;Movie;17;;
Soul Surfer;Movie;17;;
The Letter for the King;TV Show;17;;
Alien Worlds;TV Show;17;;
American Horror Story;TV Show;17;;
La belva;Movie;17;;
1BR;Movie;16;;
Survivor;TV Show;16;;
Chris D'Elia No Pain;TV Show;16;;
Tom Segura: Ball Hog;Movie;16;;
I Now Pronounce You Chuck and Larry;Movie;15;;
Secrets of the Saqqara Tomb;Movie;15;;
The Healer;Movie;15;;
Have a Good Trip: Adventures in Psychedelics;Movie;15;;
A Babysitter's Guide to Monster Hunting;Movie;15;;
Moesha;TV Show;15;;
Immigration Nation;TV Show;14;;
Love. Wedding. Repeat;Movie;14;;
Car Masters: Rust to Riches;TV Show;14;;
Wentworth;TV Show;14;;
Jurassic Park;Movie;13;;
A Thousand Words;Movie;13;;
Indian Matchmaking;TV Show;13;;
Quantum of Solace;Movie;12;;
The Christmas Chronicles;Movie;12;;
Ava;Movie;12;;
Unorthodox;TV Show;12;;
Sneakerheads;TV Show;12;;
The Cabin with Bert Kreischer;TV Show;11;;
Big Daddy;Movie;11;;
Clueless;Movie;11;;
Legacies;TV Show;11;;
The Roommate;Movie;11;;
Yes; God; Yes;Movie;11
Girlfriends;TV Show;11;;
Rogue City;Movie;11;;
Tremors: Island Fury;Movie;11;;
Malibu Rescue: The Next Wave;Movie;11;;
The American Barbecue Showdown;TV Show;10;;
Snowden;Movie;10;;
Trinkets;TV Show;10;;
The Liberator;TV Show;10;;
Colombiana;Movie;10;;
Rogue Warfare: The Hunt;Movie;10;;
Baby Mama;Movie;10;;
Rust Creek;Movie;9;;
Zookeeper;Movie;9;;
Magic for Humans;TV Show;9;;
Badland;Movie;9;;
Spenser Confidential;Movie;9;;
Uncorked;Movie;8;;
Home Game;TV Show;8;;
The Game;TV Show;8;;
His House;Movie;8;;
The Boss Baby: Get That Baby!;Movie;8;;
Yogi Bear;Movie;7;;
Magnetic;Movie;7;;
Django Unchained;Movie;7;;
100 Humans;TV Show;6;;
In the Dark;TV Show;6;;
The Main Event;Movie;6;;
Triple 9;Movie;6;;
La vita davanti a sé;Movie;6;;
El practicante;Movie;6;;
Transformers: War for Cybertron;TV Show;6;;
Queen of the South;TV Show;6;;
Midnight at the Magnolia;Movie;5;;
Game On! A Comedy Crossover Event;TV Show;5;;
The Willloughbys;Movie;5;;
Latte & the Magic Waterstone;Movie;5;;
Ancient Aliens;TV Show;4;;
Hop;Movie;4;;
60 Days In;TV Show;4;;
Julie and the Phantoms;TV Show;4;;
Hometown Holiday;Movie;4;;
If Anything Happens I Love You;Movie;4;;
Absurd Planet;TV Show;4;;
Anaconda;Movie;4;;
Hogar;Movie;3;;
The Hangover;Movie;3;;
Dream Home Makeover;TV Show;3;;
Rust Valley Restorers;TV Show;3;;
How to Get Away With Murder;TV Show;3;;
The Half of It;Movie;3;;
Christmas on the Square;Movie;3;;
Cooked With Cannabis;TV Show;3;;
The Players Club;Movie;3;;
Glow Up;TV Show;2;;
Puss in Boots;Movie;2;;
Double Jeopardy;Movie;2;;
One on One;TV Show;2;;
The Green Hornet;Movie;2;;
Salt;Movie;2;;
Dark;TV Show;2;;
Hannibal;TV Show;1;;
How to Train Your Dragon 2;Movie;1;;
On My Block;TV Show;1;;
The Office;TV Show;1;;
House at the End of the Street;Movie;1;;
Community;TV Show;1;;
